Timestamp,Pattern,Color
2023-10-31 10:36:55.498116,Rectangle,Blue
2023-10-31 10:36:55.551059,Rectangle,Blue
2023-10-31 10:36:55.628364,Rectangle,Blue
2023-10-31 10:36:55.756365,Rectangle,Blue
2023-10-31 10:36:55.816251,Rectangle,Blue
2023-10-31 10:36:55.895809,Rectangle,Blue
2023-10-31 10:36:55.947507,Rectangle,Blue
2023-10-31 10:36:56.025517,Circle,Yellow
2023-10-31 10:36:56.025517,Rectangle,Blue
2023-10-31 10:36:56.085817,Rectangle,Blue
2023-10-31 10:36:56.154375,Rectangle,Blue
2023-10-31 10:36:56.292587,Circle,Yellow
2023-10-31 10:36:56.292587,Square,Red
2023-10-31 10:36:56.292587,Rectangle,Blue
2023-10-31 10:36:56.352818,Circle,Yellow
2023-10-31 10:36:56.352818,Square,Red
2023-10-31 10:36:56.352818,Rectangle,Blue
2023-10-31 10:36:56.422205,Circle,Yellow
2023-10-31 10:36:56.422205,Square,Red
2023-10-31 10:36:56.422205,Rectangle,Blue
2023-10-31 10:36:56.482937,Circle,Yellow
2023-10-31 10:36:56.482937,Rectangle,Blue
2023-10-31 10:36:56.558424,Circle,Yellow
2023-10-31 10:36:56.558424,Square,Red
2023-10-31 10:36:56.558424,Rectangle,Blue
2023-10-31 10:36:56.619954,Circle,Yellow
2023-10-31 10:36:56.619954,Square,Red
2023-10-31 10:36:56.627958,Rectangle,Blue
2023-10-31 10:36:56.694262,Circle,Yellow
2023-10-31 10:36:56.694262,Square,Red
2023-10-31 10:36:56.694262,Rectangle,Blue
2023-10-31 10:36:56.745772,Circle,Yellow
2023-10-31 10:36:56.745772,Rectangle,Blue
2023-10-31 10:36:56.828454,Triangle,Green
2023-10-31 10:36:56.828454,Circle,Yellow
2023-10-31 10:36:56.828454,Square,Red
2023-10-31 10:36:56.881296,Circle,Yellow
2023-10-31 10:36:56.881296,Rectangle,Blue
2023-10-31 10:36:56.957138,Triangle,Green
2023-10-31 10:36:56.957138,Circle,Yellow
2023-10-31 10:36:56.957138,Square,Red
2023-10-31 10:36:56.957138,Rectangle,Blue
2023-10-31 10:36:57.023490,Circle,Yellow
2023-10-31 10:36:57.023490,Rectangle,Blue
2023-10-31 10:36:57.089950,Circle,Yellow
2023-10-31 10:36:57.089950,Rectangle,Blue
2023-10-31 10:36:57.151311,Triangle,Green
2023-10-31 10:36:57.151311,Circle,Yellow
2023-10-31 10:36:57.151311,Square,Red
2023-10-31 10:36:57.151311,Rectangle,Blue
2023-10-31 10:36:57.238231,Triangle,Green
2023-10-31 10:36:57.238231,Circle,Yellow
2023-10-31 10:36:57.238231,Square,Red
2023-10-31 10:36:57.238231,Rectangle,Blue
2023-10-31 10:36:57.290550,Triangle,Green
2023-10-31 10:36:57.290550,Circle,Yellow
2023-10-31 10:36:57.290550,Rectangle,Blue
2023-10-31 10:36:57.369363,Triangle,Green
2023-10-31 10:36:57.369363,Circle,Yellow
2023-10-31 10:36:57.421352,Triangle,Green
2023-10-31 10:36:57.421352,Circle,Yellow
2023-10-31 10:36:57.421352,Square,Red
2023-10-31 10:36:57.490319,Triangle,Green
2023-10-31 10:36:57.490319,Circle,Yellow
2023-10-31 10:36:57.490319,Square,Red
2023-10-31 10:36:57.549235,Triangle,Green
2023-10-31 10:36:57.549235,Circle,Yellow
2023-10-31 10:36:57.549235,Square,Red
2023-10-31 10:36:57.624220,Circle,Yellow
2023-10-31 10:36:57.624220,Square,Red
2023-10-31 10:36:57.685820,Triangle,Green
2023-10-31 10:36:57.685820,Circle,Yellow
2023-10-31 10:36:57.685820,Square,Red
2023-10-31 10:36:57.752720,Circle,Yellow
2023-10-31 10:36:57.755797,Square,Red
2023-10-31 10:36:57.814731,Triangle,Green
2023-10-31 10:36:57.814731,Circle,Yellow
2023-10-31 10:36:57.814731,Square,Red
2023-10-31 10:36:57.891803,Triangle,Green
2023-10-31 10:36:57.891803,Circle,Yellow
2023-10-31 10:36:57.891803,Square,Red
2023-10-31 10:36:57.952757,Circle,Yellow
2023-10-31 10:36:57.952757,Square,Red
2023-10-31 10:36:58.018903,Triangle,Green
2023-10-31 10:36:58.018903,Circle,Yellow
2023-10-31 10:36:58.018903,Square,Red
2023-10-31 10:36:58.087699,Triangle,Green
2023-10-31 10:36:58.091207,Circle,Yellow
2023-10-31 10:36:58.154541,Rectangle,Violet
2023-10-31 10:36:58.154541,Triangle,Green
2023-10-31 10:36:58.154541,Circle,Yellow
2023-10-31 10:36:58.154541,Square,Red
2023-10-31 10:36:58.223633,Rectangle,Violet
2023-10-31 10:36:58.223633,Triangle,Green
2023-10-31 10:36:58.223633,Circle,Yellow
2023-10-31 10:36:58.223633,Square,Red
2023-10-31 10:36:58.297353,Rectangle,Violet
2023-10-31 10:36:58.297353,Triangle,Green
2023-10-31 10:36:58.298670,Circle,Yellow
2023-10-31 10:36:58.298670,Square,Red
2023-10-31 10:36:58.347537,Rectangle,Violet
2023-10-31 10:36:58.347537,Circle,Yellow
2023-10-31 10:36:58.347537,Square,Red
2023-10-31 10:36:58.428906,Rectangle,Violet
2023-10-31 10:36:58.428906,Circle,Yellow
2023-10-31 10:36:58.428906,Square,Red
2023-10-31 10:36:58.491752,Rectangle,Violet
2023-10-31 10:36:58.491752,Triangle,Green
2023-10-31 10:36:58.491752,Circle,Yellow
2023-10-31 10:36:58.567825,Rectangle,Violet
2023-10-31 10:36:58.567825,Triangle,Green
2023-10-31 10:36:58.567825,Circle,Yellow
2023-10-31 10:36:58.567825,Square,Red
2023-10-31 10:36:58.627832,Rectangle,Violet
2023-10-31 10:36:58.627832,Circle,Yellow
2023-10-31 10:36:58.627832,Square,Red
2023-10-31 10:36:58.692984,Rectangle,Violet
2023-10-31 10:36:58.692984,Triangle,Green
2023-10-31 10:36:58.692984,Square,Red
2023-10-31 10:36:58.754034,Rectangle,Violet
2023-10-31 10:36:58.754034,Triangle,Green
2023-10-31 10:36:58.754034,Square,Red
2023-10-31 10:36:58.825001,Circle,Yellow
2023-10-31 10:36:58.825001,Square,Red
2023-10-31 10:36:58.885519,Rectangle,Violet
2023-10-31 10:36:58.885519,Triangle,Green
2023-10-31 10:36:58.885519,Circle,Yellow
2023-10-31 10:36:58.885519,Square,Red
